"x1" "x2" "y"
"8358" 1.005642 1.352253 1
"1215" -1.12588 0.529306 0
"1899" -0.907053 0.672301 0
"1912" -0.902069 0.378482 0
"5986" 0.327995 0.708494 0
"4637" -0.077116 0.33506 0
"5086" 0.057407 -0.192209 0
"7870" 0.868162 1.29961 1
"511" -1.340707 -0.39228 1
"127" -1.460863 0.18502 1
"4729" -0.049839 -0.26729 0
"7149" 0.660669 0.62972 0
"2574" -0.704356 -0.942328 1
"4552" -0.099334 -1.318734 1
"1983" -0.879174 0.714093 0
"5065" 0.049088 -0.925036 0
"981" -1.193137 -0.236325 1
"4561" -0.097483 0.457444 0
"4200" -0.212348 -1.270245 1
"5302" 0.125106 1.34919 1
"5513" 0.190291 -0.66643 0
"738" -1.271317 -1.012633 1
"9925" 1.476411 -1.169365 1
"514" -1.339935 -0.77459 1
"6131" 0.368491 0.281547 0
"2504" -0.726649 0.585209 0
"979" -1.193797 0.535694 1
"9456" 1.340346 -0.433078 1
"4621" -0.082275 0.476817 0
"1674" -0.97492 -0.24309 1
"8242" 0.97419 0.044149 0
"694" -1.283248 -1.000556 1
"438" -1.362527 1.237696 1
"1296" -1.099966 1.289828 1
"1459" -1.050305 0.613942 0
"7065" 0.635435 -1.2952 1
"3169" -0.527202 0.623785 0
"2598" -0.697592 -1.399986 1
"7614" 0.792519 -0.488385 1
"5885" 0.300534 0.254057 0
"8930" 1.177367 0.583465 1
"4806" -0.026839 1.212659 1
"2058" -0.857233 1.044649 0
"4698" -0.0581 1.229471 1
"9407" 1.323425 0.360355 1
"8962" 1.187627 -1.302775 1
"2295" -0.789914 -0.441703 1
"1338" -1.086688 -0.131697 1
"9558" 1.374848 -0.784181 1
"4029" -0.269998 0.908195 0
"6951" 0.605813 -0.163283 0
"295" -1.407513 -0.623985 1
"9665" 1.405756 -0.745423 1
"3359" -0.466257 0.582639 0
"476" -1.351796 1.358325 1
"2972" -0.58738 1.204421 0
"4003" -0.277648 1.333015 1
"9944" 1.481647 0.647183 1
"7903" 0.876746 1.060676 0
"6398" 0.449591 1.353825 1
"9946" 1.481985 0.657512 1
"6652" 0.524621 -0.618827 1
"2265" -0.799664 -0.832756 1
"7485" 0.755202 1.183268 0
"4947" 0.014131 0.60026 0
"1146" -1.146898 0.866878 1
"1469" -1.047353 -1.0209 1
"6003" 0.332528 0.566839 0
"5205" 0.094367 -0.743785 0
"4061" -0.257849 -0.101065 0
"9187" 1.2551 -0.330861 1
"1535" -1.021513 0.290925 0
"2578" -0.702394 -0.399112 0
"7794" 0.845841 -0.005778 0
"6566" 0.501677 -0.427948 0
"1544" -1.017296 -0.412334 1
"5825" 0.281622 0.924759 0
"8796" 1.136595 0.372542 1
"6349" 0.434817 -1.139823 1
"3168" -0.527294 1.178631 0
"8391" 1.014542 -0.281487 1
"9335" 1.303022 -0.764344 1
"9332" 1.302074 1.228617 1
"4476" -0.124988 -1.244693 1
"6150" 0.374372 -0.325519 0
"7357" 0.720386 0.892815 0
"296" -1.407307 1.333979 1
"7583" 0.781807 -0.465126 1
"5853" 0.290649 -1.103613 1
"9731" 1.422028 1.230734 1
"8327" 0.996712 0.69853 0
"9927" 1.476486 0.661452 1
"199" -1.4397 0.512783 1
"18" -1.494011 -0.231027 1
"1381" -1.071219 -0.215606 1
"4628" -0.079713 -0.708597 0
"4154" -0.227434 1.199003 1
"5691" 0.240558 -1.368126 1
"3873" -0.317475 0.997456 0
"6108" 0.361797 -0.714476 1
"3920" -0.303961 0.777741 0
"2536" -0.717823 -0.929909 1
"8195" 0.960552 -0.683976 1
"2408" -0.755467 1.11787 0
"4901" 0.003041 0.264412 0
"1089" -1.164325 -0.851907 1
"774" -1.258772 0.430947 1
"6984" 0.616027 -0.686107 1
"2928" -0.601329 -0.477942 0
"8982" 1.194687 0.102416 1
"1608" -0.996403 0.789645 0
"1762" -0.949069 1.30853 1
"8957" 1.186701 -1.209529 1
"6882" 0.588238 -0.746288 1
"9284" 1.284907 -1.024947 1
"9880" 1.464163 -1.304734 1
"7509" 0.761867 -1.022313 1
"1688" -0.972704 -0.56422 1
"4883" -0.00288 1.380135 1
"4041" -0.266088 -0.527588 0
"7727" 0.825365 -0.070048 0
"3488" -0.427071 -1.084813 1
"9059" 1.2174 0.474342 1
"546" -1.330483 -0.440819 1
"14" -1.495352 0.671929 1
"4530" -0.108302 0.424883 0
"2858" -0.622222 0.244431 0
"7578" 0.780028 1.378995 1
"5372" 0.150836 -1.225659 1
"7167" 0.666509 1.355539 1
"4252" -0.194322 -1.21635 1
"3369" -0.463935 0.242143 0
"673" -1.289156 1.009479 1
"3967" -0.289544 -1.363308 1
"5417" 0.161012 0.335827 0
"1742" -0.954377 -0.885626 1
"2625" -0.690808 -0.214493 0
"2651" -0.684088 -1.377046 1
"4677" -0.065659 0.898581 0
"6409" 0.452962 1.082187 0
"6803" 0.563961 0.464354 0
"1618" -0.992549 -0.244175 1
"5014" 0.03301 0.274219 0
"9871" 1.462514 -0.909445 1
"9345" 1.305803 1.258836 1
"6780" 0.55776 0.939445 0
"2724" -0.66719 0.329506 0
"6876" 0.586435 0.909282 0
